[['E', 'V', 'A', 'N', 'S'], ['S', '.', 'O', 'N', 'C'], ['C', 'A', 'N', 'E', 'E'], ['H', 'E', 'I', '.', 'M'], ['E', 'R', 'E', 'D', 'E']]
[['.', 'P', 'I', 'S', 'A'], ['F', 'I', 'N', 'T', 'I'], ['A', 'L', 'F', 'E', 'O'], ['M', 'A', 'R', 'I', 'N'], ['A', 'R', 'A', 'N', '.']]
[['R', 'A', 'I', 'S', 'I'], ['E', 'N', '.', 'A', 'S'], ['U', 'T', 'E', 'R', 'O'], ['M', 'A', '.', 'A', 'L'], ['I', 'R', 'E', 'N', 'E']]
[['R', 'A', 'G', 'A', 'S'], ['H', 'V', '.', 'P', 'T'], ['O', 'I', 'D', 'I', 'O'], ['D', 'D', '.', 'R', 'S'], ['E', 'A', 'M', 'E', 'S']]
[['C', 'O', 'G', '.', 'F'], ['U', 'L', 'A', 'N', 'I'], ['N', 'O', 'L', 'A', 'N'], ['E', 'F', 'O', 'R', 'I'], ['O', '.', 'P', 'O', 'S']]
[['A', 'G', 'G', 'I', 'O'], ['B', 'Y', 'R', 'O', 'N'], ['U', '.', 'A', '.', 'I'], ['S', 'I', 'M', 'I', 'C'], ['O', 'M', 'E', 'R', 'I']]
[['X', 'E', 'R', 'E', 'S'], ['B', 'L', 'U', 'F', 'F'], ['.', 'I', 'M', 'E', '.'], ['S', 'T', 'O', 'S', 'S'], ['M', 'E', 'R', 'O', 'I']]
[['G', 'A', 'E', 'T', 'A'], ['.', 'P', 'L', 'A', 'N'], ['L', 'I', 'L', 'L', 'A'], ['A', 'R', 'E', 'E', '.'], ['R', 'O', 'N', 'D', 'Ò']]
[['A', '.', 'C', 'A', 'I'], ['V', 'I', 'R', 'T', 'U'], ['A', 'R', 'I', 'E', 'L'], ['R', 'A', 'S', 'O', 'I'], ['E', 'P', 'I', '.', 'O']]
[['I', '.', 'G', 'B', 'M'], ['C', 'E', 'R', 'E', 'I'], ['O', 'G', 'I', 'V', 'E'], ['N', 'A', 'D', 'A', 'L'], ['A', 'N', 'E', '.', 'E']]
[['G', 'O', 'B', 'B', 'O'], ['.', 'R', 'E', 'A', 'D'], ['E', 'M', 'I', 'R', 'I'], ['R', 'A', 'G', 'U', '.'], ['B', 'I', 'E', 'C', 'O']]
[['E', 'F', 'E', 'B', 'O'], ['F', 'E', 'R', 'R', 'I'], ['O', '.', 'R', '.', 'D'], ['R', 'I', 'O', 'N', 'I'], ['I', 'U', 'L', 'I', 'O']]
[['S', 'N', 'O', 'D', 'O'], ['A', 'Y', '.', 'I', 'R'], ['I', 'M', 'A', 'N', 'I'], ['G', 'A', '.', 'D', 'O'], ['A', 'N', 'T', 'O', 'N']]
[['A', 'V', 'E', 'N', 'A'], ['E', 'B', 'B', 'R', 'E'], ['R', '.', 'B', '.', 'R'], ['E', 'B', 'R', 'E', 'E'], ['E', 'V', 'A', 'S', 'A']]
[['.', 'M', 'O', 'R', 'A'], ['M', 'A', 'T', 'E', 'R'], ['A', 'G', 'A', 'V', 'E'], ['A', 'R', 'R', 'A', 'S'], ['S', 'O', 'U', 'L', '.']]
[['E', 'G', 'I', 'Z', 'I'], ['I', 'R', 'O', 'S', 'E'], ['L', '.', 'N', '.', 'L'], ['A', 'M', 'I', 'E', 'L'], ['T', 'I', 'A', 'R', 'A']]
[['A', 'A', 'L', 'S', 'T'], ['B', 'B', '.', 'T', 'E'], ['I', 'R', 'I', 'A', 'N'], ['E', 'A', '.', 'R', 'E'], ['S', 'M', 'A', 'R', 'T']]
[['K', 'L', 'A', 'U', 'S'], ['A', '.', 'M', 'G', 'C'], ['R', 'U', 'M', 'O', 'R'], ['I', 'D', 'A', '.', 'I'], ['M', 'E', 'N', 'T', 'A']]
[['T', 'O', 'R', 'E', '.'], ['E', 'P', 'I', 'R', 'O'], ['S', 'I', 'V', 'A', 'S'], ['T', 'M', 'E', 'S', 'I'], ['.', 'O', 'R', 'I', 'O']]
[['A', 'S', 'S', 'A', 'I'], ['I', '.', 'O', 'C', 'N'], ['M', 'U', 'R', 'A', 'T'], ['E', 'S', 'O', '.', 'E'], ['E', 'L', 'S', 'E', 'R']]
[['M', 'O', 'H', 'S', '.'], ['A', 'M', 'A', 'T', 'A'], ['G', 'O', 'R', 'A', 'L'], ['A', 'N', 'D', 'R', 'E'], ['.', 'E', 'Y', 'R', 'E']]
[['.', 'B', 'R', 'I', 'N'], ['P', 'A', 'O', 'L', 'A'], ['I', 'S', 'T', 'A', 'T'], ['P', 'E', 'T', 'R', 'I'], ['A', 'L', 'O', 'E', '.']]
[['T', 'E', 'L', 'A', 'I'], ['Q', 'U', 'O', 'T', 'E'], ['.', 'L', 'I', 'R', '.'], ['D', 'E', 'C', 'I', 'O'], ['P', 'R', 'O', 'O', 'F']]
[['A', 'A', 'R', 'O', 'N'], ['V', 'S', '.', 'R', 'E'], ['A', 'C', 'I', 'D', 'E'], ['R', 'I', '.', 'R', 'R'], ['I', 'A', 'L', 'E', 'A']]
[['S', 'S', 'I', '.', 'J'], ['T', 'O', 'N', 'T', 'E'], ['A', 'L', 'T', 'R', 'A'], ['G', 'O', 'R', 'A', 'N'], ['E', '.', 'A', 'N', 'S']]
[['I', 'S', 'E', 'O', '.'], ['S', 'A', 'C', 'R', 'A'], ['S', 'C', 'A', 'L', 'I'], ['A', 'R', 'T', 'O', 'M'], ['.', 'I', 'E', 'N', 'E']]
[['S', 'E', 'L', 'E', 'S'], ['A', 'F', '.', 'T', 'T'], ['L', 'E', 'M', 'N', 'O'], ['V', 'B', '.', 'E', 'U'], ['E', 'I', 'L', 'A', 'T']]
[['O', 'C', 'I', 'M', 'O'], ['F', 'R', 'I', 'A', 'R'], ['I', 'A', '.', 'R', 'M'], ['D', 'A', 'C', 'I', 'E'], ['I', 'L', 'O', 'N', 'A']]
[['T', 'I', 'A', 'S', 'O'], ['Y', 'D', '.', 'P', 'S'], ['S', 'O', 'R', 'O', 'S'], ['O', 'L', '.', 'R', 'E'], ['N', 'I', 'T', 'T', 'O']]
[['R', '.', 'B', 'A', 'M'], ['A', 'M', 'I', 'L', 'E'], ['B', 'O', 'X', 'E', 'S'], ['A', 'L', 'I', 'A', 'S'], ['T', 'A', 'O', '.', 'O']]
[['D', 'E', 'H', '.', 'P'], ['O', 'R', 'A', 'L', 'E'], ['L', 'O', 'U', 'I', 'S'], ['B', 'I', 'T', 'T', 'O'], ['Y', '.', 'E', 'T', 'S']]
[['S', 'A', 'M', 'O', 'A'], ['U', 'S', 'E', 'R', '.'], ['K', 'A', 'R', 'M', 'A'], ['.', 'R', 'I', 'E', 'L'], ['T', 'O', 'T', 'A', 'L']]
[['I', 'M', 'E', '.', 'I'], ['O', 'A', 'S', 'I', 'S'], ['T', 'R', 'I', 'N', 'A'], ['T', 'E', 'M', 'P', 'I'], ['I', '.', 'I', 'S', 'A']]
[['M', 'I', 'T', 'R', 'A'], ['A', 'G', '.', 'A', 'F'], ['G', 'N', 'O', 'M', 'O'], ['M', 'E', '.', 'I', 'N'], ['A', 'E', 'R', 'E', 'I']]
[['E', 'A', 'R', 'T', 'H'], ['V', '.', 'E', 'F', 'A'], ['O', 'R', 'A', 'R', 'I'], ['L', 'U', 'N', '.', 'T'], ['A', 'M', 'O', 'R', 'I']]
[['U', 'D', 'I', 'N', 'E'], ['G', 'O', 'D', 'E', '.'], ['H', 'O', 'R', 'S', 'T'], ['.', 'R', 'I', 'S', 'I'], ['O', 'S', 'S', 'I', 'A']]
[['O', 'G', 'L', 'I', 'O'], ['.', 'R', 'A', 'D', 'O'], ['T', 'O', 'U', 'R', 'S'], ['P', 'O', 'R', 'I', '.'], ['A', 'M', 'A', 'S', 'I']]
[['.', 'S', 'B', 'A', 'R', 'R', 'A'], ['M', '.', 'A', 'L', 'I', 'E', 'N'], ['A', 'M', 'U', 'L', 'E', 'T', 'I'], ['D', 'I', 'X', '.', 'N', 'R', 'O'], ['A', 'N', 'I', 'S', 'T', 'O', 'N'], ['M', 'O', 'T', 'O', 'R', '.', 'E'], ['E', 'R', 'E', 'S', 'I', 'A', '.']]
[['M', 'A', 'D', 'A', 'M', '.', 'B'], ['E', '.', 'A', 'N', 'A', 'C', 'I'], ['D', 'A', 'R', 'I', 'U', 'S', '.'], ['I', 'R', 'N', 'E', 'R', 'I', 'O'], ['.', 'C', 'E', 'L', 'E', 'R', 'I'], ['R', 'O', 'L', 'L', 'E', '.', 'T'], ['B', '.', 'L', 'O', 'N', 'Z', 'A']]
[['P', 'B', '.', 'B', 'I', 'C', 'A'], ['.', 'A', 'B', 'I', 'L', 'I', '.'], ['P', 'R', 'E', 'S', 'I', 'N', 'E'], ['P', 'E', 'N', 'S', 'A', 'T', 'I'], ['I', 'N', 'N', 'O', 'C', 'U', 'A'], ['.', 'T', 'E', 'N', 'O', 'R', '.'], ['U', 'S', 'T', 'A', '.', 'E', 'E']]
[['B', 'L', 'A', 'S', 'O', 'N', 'I'], ['R', 'E', 'F', 'R', 'A', 'I', 'N'], ['O', 'A', '.', '.', 'C', 'C', 'A'], ['D', 'S', '.', '.', '.', 'O', 'L'], ['O', 'I', 'L', '.', '.', 'L', 'A'], ['S', 'N', 'O', 'W', 'C', 'A', 'T'], ['A', 'G', 'R', 'A', 'R', 'I', 'E']]
[['G', 'E', 'R', 'B', 'E', 'R', 'A'], ['A', 'P', 'I', 'A', 'R', 'I', '.'], ['N', 'I', 'M', 'R', 'U', 'D', '.'], ['G', '.', 'A', 'B', 'D', '.', 'T'], ['.', 'E', 'R', 'O', 'I', 'C', 'I'], ['.', 'P', 'I', 'N', 'T', 'O', 'R'], ['S', 'C', 'O', 'I', 'A', 'T', 'E']]
[['I', 'O', 'D', 'U', 'R', 'I', '.'], ['S', 'C', 'O', 'V', 'A', 'R', 'E'], ['A', '.', 'R', 'A', 'T', 'T', 'A'], ['R', 'P', 'M', '.', 'E', 'E', 'G'], ['C', 'O', 'I', 'R', 'A', '.', 'L'], ['O', 'S', 'T', 'E', 'R', 'I', 'E'], ['.', 'E', 'A', 'T', 'E', 'R', 'S']]
[['R', 'P', 'M', '.', 'V', 'A', 'N'], ['A', 'C', 'E', 'T', 'I', 'L', 'E'], ['D', 'U', 'R', 'A', 'N', '.', '.'], ['O', 'S', 'I', 'M', 'A', 'N', 'I'], ['.', '.', 'N', 'I', 'V', 'E', 'N'], ['U', 'G', 'O', 'L', 'I', 'N', 'O'], ['P', 'C', 'S', '.', 'L', 'E', 'X']]
[['A', 'S', 'S', 'O', 'R', 'T', 'A'], ['S', 'E', 'I', 'E', 'N', 'N', 'E'], ['S', 'L', 'O', '.', 'A', '.', 'R'], ['U', 'Z', '.', '.', '.', 'V', 'E'], ['N', '.', 'B', '.', 'E', 'I', 'A'], ['T', 'W', 'I', 'N', 'S', 'E', 'T'], ['O', 'T', 'T', 'E', 'T', 'T', 'O']]
[['A', 'U', 'S', 'T', 'R', 'I', 'A'], ['P', '.', 'P', 'O', 'I', 'N', 'T'], ['P', '.', 'O', 'R', 'C', '.', 'T'], ['A', 'B', 'I', 'T', 'I', 'N', 'I'], ['R', '.', 'L', 'I', 'C', '.', 'N'], ['S', 'H', 'E', 'L', 'L', '.', 'T'], ['A', 'U', 'R', 'E', 'O', 'L', 'E']]
[['E', '.', 'M', 'A', 'R', 'M', 'I'], ['S', 'C', 'A', 'L', 'E', 'N', 'O'], ['S', 'I', 'G', 'L', 'A', '.', '.'], ['A', 'C', 'H', 'I', 'L', 'L', 'E'], ['.', '.', 'R', 'E', 'G', 'E', 'R'], ['E', 'L', 'E', 'V', 'A', 'T', 'O'], ['K', 'A', 'B', 'I', 'R', '.', 'S']]
[['.', 'W', 'A', 'L', 'T', 'E', 'R'], ['A', 'L', 'L', 'A', 'I', 'N', '.'], ['R', '.', 'I', 'V', 'A', 'N', 'A'], ['P', 'A', 'N', 'A', 'R', 'E', 'A'], ['A', 'L', 'A', 'T', 'I', '.', 'R'], ['.', 'A', 'R', 'E', 'N', 'T', 'E'], ['O', 'S', 'I', 'R', 'I', 'S', '.']]
[['D', '.', 'O', 'C', 'C', 'A', 'M'], ['E', '.', 'C', 'H', 'E', 'T', 'E'], ['F', 'G', '.', 'A', 'N', 'O', 'N'], ['U', 'R', 'A', 'G', 'A', 'N', 'I'], ['N', 'A', 'R', 'A', '.', 'A', 'P'], ['T', 'A', 'R', 'L', 'I', '.', 'P'], ['I', 'F', 'A', 'L', 'E', '.', 'O']]
[['S', 'E', 'R', 'V', 'A', 'N', 'T'], ['P', '.', '.', 'E', 'R', 'T', 'I'], ['E', 'R', 'O', 'S', 'I', '.', 'R'], ['R', 'A', 'S', 'P', 'A', 'T', 'O'], ['O', '.', 'M', 'E', 'L', 'F', 'I'], ['N', 'E', 'A', 'R', '.', '.', 'D'], ['I', 'N', 'N', 'O', 'C', 'U', 'I']]
[['C', 'U', 'R', 'A', 'C', 'A', 'O'], ['H', '.', '.', 'P', 'A', 'N', '.'], ['E', 'S', 'P', 'O', 'R', 'S', 'I'], ['A', 'P', 'U', 'L', 'E', 'I', 'O'], ['P', 'A', 'R', 'O', 'L', 'A', 'I'], ['.', 'R', 'I', 'G', '.', '.', 'D'], ['R', 'I', 'M', 'O', 'N', 'T', 'E']]
[['A', 'N', 'I', 'M', 'O', 'S', 'O'], ['.', '.', 'N', 'O', 'V', 'A', 'K'], ['E', 'S', 'T', 'R', 'A', 'D', 'A'], ['.', 'B', 'E', 'A', 'T', 'A', '.'], ['T', 'O', 'R', 'N', 'I', 'T', 'I'], ['C', 'O', 'I', 'T', 'O', '.', '.'], ['I', 'M', 'M', 'E', 'N', 'S', 'E']]
[['A', '.', 'N', 'T', 'O', '.', 'A'], ['M', 'A', 'U', 'R', 'E', 'E', 'N'], ['A', 'L', 'T', 'E', 'R', 'N', 'I'], ['.', 'E', 'R', 'N', 'S', 'T', '.'], ['B', 'R', 'I', 'T', 'T', 'E', 'N'], ['O', 'T', 'T', 'I', 'E', 'R', 'I'], ['E', '.', 'A', 'N', 'D', '.', 'G']]
[['Y', 'I', '.', 'C', 'I', 'S', 'C'], ['U', 'R', 'G', 'E', 'N', 'T', 'I'], ['C', 'T', 'R', 'L', '.', '.', 'M'], ['A', 'I', 'U', 'T', 'A', 'T', 'E'], ['T', '.', '.', 'I', 'D', 'O', 'L'], ['A', 'P', 'O', 'C', 'O', 'P', 'I'], ['N', 'E', 'R', 'O', '.', 'I', 'O']]
[['C', 'O', 'N', 'C', 'A', 'V', 'O'], ['A', '.', 'E', 'R', 'R', 'E', '.'], ['P', '.', 'R', 'U', 'I', 'N', 'E'], ['O', 'R', 'V', 'I', 'E', 'T', 'O'], ['C', 'O', 'A', 'S', 'T', '.', 'L'], ['.', 'S', 'T', 'E', 'T', '.', 'I'], ['D', 'I', 'O', 'R', 'A', 'M', 'A']]
[['T', 'A', 'B', 'E', 'L', 'L', 'E'], ['W', 'L', '.', 'T', 'O', 'F', 'U'], ['I', 'F', 'E', '.', 'U', '.', 'G'], ['N', 'A', 'S', 'C', 'I', 'T', 'A'], ['S', '.', 'T', '.', 'S', 'U', 'N'], ['E', 'I', 'R', 'E', '.', 'R', 'E'], ['T', 'Z', 'I', 'G', 'A', 'N', 'I']]
[['.', 'R', 'O', 'R', 'I', 'D', 'I'], ['M', 'U', 'L', 'E', 'T', 'A', 'S'], ['.', 'D', 'I', 'D', 'O', 'N', 'E'], ['T', 'Y', '.', 'P', '.', 'N', 'O'], ['I', 'A', 'C', 'O', 'N', 'A', '.'], ['P', 'R', 'E', 'L', 'A', 'T', 'I'], ['A', 'D', 'E', 'L', 'M', 'O', '.']]
[['T', 'O', 'C', '.', 'D', 'R', 'O'], ['A', '.', 'I', 'L', 'E', 'I', '.'], ['P', 'E', 'L', 'A', 'S', 'G', 'I'], ['P', 'R', 'E', 'M', 'I', 'E', 'R'], ['O', 'N', 'C', 'I', 'A', 'L', 'E'], ['.', 'S', 'C', 'A', 'R', '.', 'N'], ['P', 'T', 'A', '.', 'E', 'D', 'E']]
[['E', 'T', 'I', 'C', 'I', '.', '.'], ['F', 'S', '.', 'U', 'T', 'A', 'H'], ['F', 'I', 'A', 'T', 'A', 'R', 'E'], ['I', 'N', 'F', 'A', 'M', 'I', 'A'], ['G', 'A', 'R', 'N', 'I', 'E', 'R'], ['I', 'N', 'I', 'E', '.', 'T', 'N'], ['.', '.', 'C', 'E', 'R', 'E', 'S']]
[['A', 'C', 'H', 'I', 'L', 'L', 'E'], ['.', 'H', 'A', 'M', 'M', 'A', 'M'], ['H', 'I', '.', 'P', '.', 'T', 'A'], ['O', 'F', 'F', 'E', 'R', 'T', 'I'], ['R', 'F', '.', 'R', '.', 'A', 'L'], ['N', 'O', 'D', 'I', 'N', 'I', '.'], ['E', 'N', 'T', 'O', 'Z', 'O', 'I']]
[['I', 'R', 'I', 'D', 'A', 'T', 'O'], ['A', 'R', 'S', 'E', 'L', 'L', 'A'], ['E', 'R', 'E', 'B', 'U', 'S', '.'], ['A', '.', '.', 'O', '.', '.', 'M'], ['.', 'T', 'A', 'R', 'A', 'T', 'E'], ['K', 'A', 'R', 'A', 'C', 'H', 'I'], ['R', 'I', 'C', 'H', 'T', 'E', 'R']]
[['F', 'A', 'Q', '.', 'V', 'C', 'O'], ['L', 'P', '.', 'V', 'I', 'L', 'I'], ['O', 'P', 'L', 'I', 'T', 'I', '.'], ['U', 'R', 'E', 'T', 'A', 'N', 'O'], ['.', 'O', 'N', 'U', 'S', 'T', 'O'], ['E', 'D', 'I', 'S', '.', 'O', 'P'], ['V', 'I', 'N', '.', 'S', 'N', 'S']]
[['B', 'L', '.', 'V', 'I', 'T', 'A'], ['A', 'I', 'M', 'O', 'N', 'E', '.'], ['N', 'A', 'I', 'L', 'O', 'N', '.'], ['D', 'I', 'N', 'A', 'N', 'Z', 'I'], ['.', 'S', 'A', 'N', 'D', 'O', 'R'], ['.', 'O', 'T', 'T', 'A', 'N', 'I'], ['E', 'N', 'E', 'I', '.', 'I', 'S']]
[['.', 'G', 'R', 'E', 'C', 'H', 'E'], ['M', 'I', 'O', 'M', 'A', '.', 'Z'], ['.', 'A', 'S', 'E', 'P', 'S', 'I'], ['E', 'C', 'O', 'T', 'I', 'P', 'O'], ['I', 'A', 'L', 'I', 'T', 'E', '.'], ['N', '.', 'I', 'C', 'A', 'R', 'O'], ['E', 'R', 'O', 'I', 'N', 'A', '.']]
[['S', 'W', 'A', 'N', 'S', 'E', 'A'], ['G', 'Y', '.', 'O', '.', 'M', 'R'], ['H', 'O', 'R', 'N', '.', 'A', 'P'], ['E', 'M', 'A', 'N', 'A', 'T', 'I'], ['R', 'I', '.', 'I', 'B', 'I', 'S'], ['R', 'N', '.', 'N', '.', 'C', 'T'], ['I', 'G', 'N', 'A', 'V', 'I', 'A']]
[['O', 'M', 'I', '.', 'F', 'E', 'B'], ['E', 'B', 'R', 'A', 'I', 'C', 'A'], ['D', 'E', 'P', 'A', 'L', 'M', 'A'], ['.', '.', 'I', 'R', 'I', '.', '.'], ['S', 'I', 'N', 'A', 'P', 'S', 'I'], ['S', 'C', 'I', 'U', 'P', 'I', 'O'], ['N', 'E', 'A', '.', 'O', 'R', 'D']]
[['B', 'E', 'E', 'P', 'E', 'R', '.'], ['A', 'T', 'L', 'A', 'N', 'T', 'I'], ['M', 'I', 'E', 'L', 'O', 'S', 'E'], ['.', '.', 'T', 'E', 'L', '.', '.'], ['W', 'A', 'T', 'T', 'O', 'R', 'A'], ['X', 'E', 'R', 'O', 'G', 'E', 'L'], ['.', 'R', 'A', 'T', 'I', 'N', 'G']]
[['E', 'R', 'M', 'A', '.', 'A', 'I'], ['P', 'E', 'A', 'N', 'U', 'T', 'S'], ['O', 'M', '.', 'D', 'L', '.', 'T'], ['C', 'A', 'S', 'O', 'M', 'A', 'I'], ['A', '.', 'A', 'R', '.', 'N', 'N'], ['L', 'A', 'U', 'R', 'E', 'N', 'T'], ['E', 'U', '.', 'A', 'L', 'A', 'I']]
[['A', 'S', 'S', 'A', 'M', '.', 'M'], ['R', 'A', 'P', 'S', 'O', 'D', 'I'], ['C', 'R', 'A', 'S', '.', 'J', 'E'], ['U', '.', 'D', 'E', 'S', '.', 'L'], ['A', 'W', '.', 'G', 'I', 'R', 'I'], ['T', 'W', 'I', 'N', 'S', 'E', 'T'], ['O', '.', 'R', 'I', 'T', 'T', 'E']]
[['E', '.', 'A', 'R', 'E', 'S', 'E'], ['O', 'R', 'T', 'A', 'G', 'G', 'I'], ['.', 'A', '.', 'N', 'E', 'O', 'N'], ['D', 'I', 'C', 'K', 'E', 'N', 'S'], ['E', 'D', 'U', 'I', '.', 'F', '.'], ['L', 'E', 'O', 'N', 'Z', 'I', 'O'], ['O', 'R', 'I', 'G', 'E', '.', 'X']]
[['A', 'G', 'N', 'O', '.', 'U', 'P'], ['L', 'R', 'E', '.', 'M', 'I', 'X'], ['C', 'A', 'S', 'S', 'I', 'S', '.'], ['I', 'N', 'T', 'A', 'T', 'T', 'A'], ['.', 'A', 'L', 'D', 'R', 'I', 'N'], ['D', 'T', 'E', '.', 'I', 'T', 'T'], ['E', 'O', '.', 'S', 'A', 'I', 'A']]
[['O', 'D', 'I', '.', 'E', 'G', 'R'], ['A', 'G', 'N', 'A', 'T', 'O', '.'], ['T', '.', 'T', 'R', 'I', 'T', 'O'], ['E', 'R', 'A', 'C', 'L', 'E', 'A'], ['S', 'E', 'G', 'H', 'E', '.', 'S'], ['.', 'P', 'L', 'I', 'N', 'T', 'I'], ['R', 'S', 'I', '.', 'E', 'M', 'S']]
[['.', 'A', 'R', 'A', 'B', 'I', '.'], ['E', 'M', 'A', 'T', 'I', 'T', 'E'], ['P', 'O', 'S', 'A', 'T', 'O', 'I'], ['S', '.', 'P', 'V', 'C', '.', 'G'], ['O', 'V', 'A', 'I', 'O', 'L', 'E'], ['M', 'E', 'R', 'C', 'I', 'E', 'R'], ['.', 'L', 'E', 'O', 'N', 'I', '.']]
[['I', 'S', 'O', 'T', 'O', 'P', 'O'], ['N', 'A', 'M', '.', 'D', 'A', 'R'], ['S', 'N', 'I', 'D', 'A', 'T', 'I'], ['O', 'J', '.', '.', '.', 'R', 'N'], ['N', 'O', 'V', 'I', 'Z', 'I', 'O'], ['N', 'S', 'C', '.', 'I', 'O', 'C'], ['I', 'E', 'L', 'L', 'A', 'T', 'O']]
[['P', 'A', 'E', 'S', 'A', 'N', 'A'], ['.', 'G', 'N', 'C', '.', 'A', '.'], ['T', 'R', 'O', 'I', 'A', 'N', 'E'], ['T', 'E', 'L', 'E', 'S', 'I', 'O'], ['T', 'S', 'A', 'N', 'T', 'S', 'A'], ['.', 'T', '.', 'C', 'O', 'M', '.'], ['B', 'I', 'B', 'E', 'R', 'O', 'N']]
[['.', 'V', 'E', 'N', 'T', '.', 'G'], ['M', 'I', 'D', '.', 'E', 'O', 'R'], ['E', 'S', 'U', 'L', 'A', 'R', 'E'], ['R', 'I', 'C', 'E', 'T', 'T', 'E'], ['O', 'V', 'A', 'T', 'I', 'O', 'N'], ['P', 'A', 'T', '.', 'N', 'N', 'E'], ['E', '.', 'E', 'L', 'I', 'A', '.']]
[['L', '.', 'R', 'A', 'B', 'A', 'T'], ['I', '.', '.', 'L', 'Y', 'N', 'E'], ['T', 'A', 'B', 'A', 'R', 'I', 'N'], ['T', 'R', 'O', 'G', 'O', 'L', 'I'], ['E', 'R', 'R', 'O', 'N', 'E', 'A'], ['L', 'A', 'D', 'A', '.', '.', 'S'], ['L', 'U', 'I', 'S', 'A', '.', 'I']]
[['V', 'L', '.', 'B', 'O', 'A', 'C'], ['.', 'A', 'D', 'O', 'R', 'N', 'E'], ['.', 'T', 'I', 'L', 'S', 'I', 'T'], ['I', 'T', 'A', 'L', 'I', 'C', 'I'], ['S', 'A', 'L', 'I', 'N', 'I', '.'], ['B', 'R', 'E', 'T', 'O', 'N', '.'], ['A', 'I', 'R', 'E', '.', 'O', 'E']]
[['.', 'M', 'L', 'I', '.', 'U', 'M'], ['S', 'C', 'E', 'N', 'A', 'R', 'I'], ['O', '.', 'R', 'A', 'C', 'E', 'R'], ['L', 'E', 'C', 'L', 'A', 'I', 'R'], ['I', 'R', 'I', 'A', 'N', '.', 'O'], ['T', 'R', 'O', 'T', 'T', 'E', 'R'], ['O', 'E', '.', 'E', 'O', 'A', '.']]
[['S', 'O', 'L', 'I', 'N', 'G', 'A'], ['F', 'R', 'A', '.', '.', '.', 'U'], ['E', 'L', 'I', 'N', 'V', 'A', 'R'], ['R', 'O', 'N', 'C', 'A', 'R', 'E'], ['I', 'N', 'G', 'O', 'R', 'G', 'O'], ['C', '.', '.', '.', 'I', 'A', 'L'], ['A', 'M', 'A', 'R', 'O', 'N', 'E']]
[['T', 'S', 'I', '.', 'C', 'S', 'C'], ['W', 'A', 'M', '.', 'I', 'A', 'R'], ['I', 'G', '.', 'I', 'S', 'S', 'A'], ['T', 'R', 'O', 'N', 'C', 'H', 'I'], ['T', 'A', 'L', 'K', '.', 'I', 'O'], ['E', 'T', 'I', '.', 'G', 'M', 'V'], ['R', 'I', 'M', '.', 'S', 'I', 'A']]
[['O', 'A', 'X', 'A', 'C', 'A', '.'], ['G', 'Z', '.', 'L', 'O', 'S', 'S'], ['O', 'O', 'T', 'E', 'C', 'H', 'E'], ['.', 'T', 'O', 'S', 'C', 'A', '.'], ['C', 'A', 'N', 'S', 'A', 'N', 'O'], ['A', 'T', 'E', 'I', '.', 'T', 'C'], ['.', 'I', 'R', 'O', 'N', 'I', 'C']]
[['M', 'A', 'D', 'E', 'I', 'R', 'A'], ['A', 'R', 'I', '.', 'A', 'S', 'M'], ['O', 'P', 'T', 'I', 'M', 'U', 'M'], ['I', '.', '.', 'S', '.', '.', 'E'], ['S', 'U', 'R', 'P', 'L', 'U', 'S'], ['T', 'I', 'P', '.', 'U', 'R', 'S'], ['A', 'C', 'E', 'F', 'A', 'L', 'I']]
[['B', 'A', 'S', 'I', 'R', 'E', '.'], ['A', 'N', 'A', 'N', 'I', 'A', '.'], ['S', 'O', 'R', 'T', 'E', '.', 'D'], ['C', 'A', 'D', 'E', 'T', 'T', 'A'], ['A', '.', 'A', 'R', 'I', 'A', 'L'], ['.', 'F', 'R', 'I', 'N', 'G', 'E'], ['.', 'C', 'A', 'M', 'I', 'O', 'N']]
[['N', 'Z', '.', 'T', 'E', 'I', 'A'], ['O', 'A', 'T', 'E', 'S', '.', 'D'], ['I', 'N', 'E', 'R', 'T', 'I', '.'], ['A', 'T', 'T', 'R', 'I', 'C', 'E'], ['.', 'E', 'R', 'E', 'V', 'A', 'N'], ['Q', '.', 'I', 'N', 'A', 'R', 'I'], ['R', 'E', 'S', 'I', '.', 'O', 'O']]
[['A', 'M', 'A', '.', '.', 'N', 'Q'], ['C', 'A', 'R', 'A', 'S', 'A', 'U'], ['I', 'N', 'A', '.', 'A', 'R', 'E'], ['D', 'I', 'C', 'K', 'E', 'N', 'S'], ['O', 'C', 'N', '.', 'T', 'E', 'T'], ['S', 'H', 'I', 'A', 'T', 'S', 'U'], ['I', 'E', '.', '.', 'E', 'E', 'E']]
[['M', 'A', 'G', 'H', 'R', 'E', 'B'], ['E', 'B', 'R', 'A', 'I', 'C', 'O'], ['M', 'E', 'E', 'T', '.', 'O', 'W'], ['P', '.', 'S', '.', 'A', '.', 'L'], ['H', 'S', '.', 'I', 'R', 'T', 'I'], ['I', 'R', 'O', 'N', 'M', 'A', 'N'], ['S', 'M', 'O', 'K', 'I', 'N', 'G']]
